TP_LINGUA;NU_NOTA_MT;NU_NOTA_CH;NU_NOTA_CN;NU_NOTA_LC;NU_CORRETAS_MT;NU_CORRETAS_CH;NU_CORRETAS_CN;NU_CORRETAS_LC;TX_COERENCIA_MT;TX_COERENCIA_CH;TX_COERENCIA_CN;TX_COERENCIA_LC;CO_PROVA_MT;CO_PROVA_CH;CO_PROVA_CN;CO_PROVA_LC
0;469.0;410.3;478.3;445.6;13;11;13;15;000100001001001110010100000000001110100001022;100000001000000100001000110000001001000110002;111100001000001000100000011100000110000002222;010111001000110111100000000100110000100000000;1077.0;1058.0;1088.0;1067.0
0;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
1;653.0;579.8;525.9;541.8;17;22;9;21;010001010010100111100000001010000111100010122;101100111101000111000001100011011000000011112;010010010101010000000010000010000000000002222;010110101110100011001100011110010000111000010;1077.0;1058.0;1088.0;1067.0
1;618.3;560.1;450.2;549.3;16;21;11;22;100001011010000111001010001000100101100100022;011001111101000011101001010011000100110100012;000011011000000110000000001001000001100002222;011001111000100010010111000111111100100000110;1076.0;1055.0;1086.0;1065.0
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
1;489.5;528.3;419.8;568.4;10;16;7;25;000000000000000011100010011010010000100010022;100000111111000100101001011000000000100001012;000000011010000001000000010010000000001002222;111100101110000010001101001110101011101011101;1077.0;1058.0;1088.0;1067.0
0;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
1;594.4;533.7;485.4;491.4;12;18;14;18;000001010001010011100010001110000000000000122;000000111111001010101010011111000000000000112;010100000000011100100000000110100110001112222;010101001000010111000111011010000001011000100;1077.0;1058.0;1088.0;1067.0
0;637.9;636.2;545.1;623.1;14;30;10;29;001001001000010100010010110100000100100100022;111011111111000011101011010111110011101011012;000010010100001000001000000000110001100002222;010101101010111111011011011011111001101000111;1076.0;1055.0;1086.0;1065.0
1;582.4;560.8;471.2;557.8;11;19;14;23;010000100000000010000000001111000010000001022;011000111010001010000010010100111010000111102;001010000000000010001110101001011000010102222;101101001000010100000010101000111111110111110;1078.0;1056.0;1087.0;1066.0
